date,service,instance,level,anomaly_type,st_time
2022-05-01,recommendationservice,recommendationservice-0,pod,k8s容器读io负载,2022-05-01 01:48:57.000000
2022-05-01,frontend,frontend-2,pod,k8s容器内存负载,2022-05-01 03:37:36.000000
2022-05-01,paymentservice,paymentservice,service,k8s容器网络资源包重复发送,2022-05-01 06:36:09.000000
2022-05-01,currencyservice,currencyservice,service,k8s容器网络丢包,2022-05-01 07:45:27.000000
2022-05-01,emailservice,emailservice,service,k8s容器网络丢包,2022-05-01 08:36:55.000000
2022-05-01,checkoutservice,checkoutservice-0,pod,k8s容器cpu负载,2022-05-01 08:51:11.000000
2022-05-01,cartservice,cartservice,service,k8s容器网络资源包重复发送,2022-05-01 09:05:22.000000
2022-05-01,checkoutservice,checkoutservice,service,k8s容器cpu负载,2022-05-01 09:37:43.000000
2022-05-01,emailservice,emailservice,service,k8s容器cpu负载,2022-05-01 12:46:57.000000
2022-05-01,frontend,frontend-0,pod,k8s容器写io负载,2022-05-01 13:23:00.000000
2022-05-01,productcatalogservice,productcatalogservice-0,pod,k8s容器网络资源包损坏,2022-05-01 13:43:39.000000
2022-05-01,paymentservice,paymentservice,service,k8s容器cpu负载,2022-05-01 14:28:53.000000
2022-05-01,recommendationservice,recommendationservice-0,pod,k8s容器写io负载,2022-05-01 16:03:16.000000
2022-05-01,emailservice,emailservice-1,pod,k8s容器读io负载,2022-05-01 16:23:00.000000
2022-05-01,frontend,frontend-0,pod,k8s容器cpu负载,2022-05-01 17:49:36.000000
2022-05-01,emailservice,emailservice,service,k8s容器读io负载,2022-05-01 17:55:58.000000
2022-05-01,paymentservice,paymentservice,service,k8s容器cpu负载,2022-05-01 18:32:20.000000
2022-05-01,frontend,frontend,service,k8s容器读io负载,2022-05-01 18:58:00.000000
2022-05-01,shippingservice,shippingservice-0,pod,k8s容器cpu负载,2022-05-01 20:20:33.000000
2022-05-01,cartservice,cartservice-2,pod,k8s容器网络丢包,2022-05-01 21:03:52.000000
2022-05-01,emailservice,emailservice,service,k8s容器网络资源包重复发送,2022-05-01 22:22:56.000000
2022-05-01,frontend,frontend,service,k8s容器网络资源包重复发送,2022-05-01 22:37:20.000000
2022-05-01,recommendationservice,recommendationservice-2,pod,k8s容器网络资源包损坏,2022-05-01 22:59:26.000000
2022-05-01,currencyservice,currencyservice-2,pod,k8s容器读io负载,2022-05-01 23:40:05.000000
2022-05-01,shippingservice,shippingservice-2,pod,k8s容器网络丢包,2022-05-01 05:52:35.000000
2022-05-01,productcatalogservice,productcatalogservice-2,pod,k8s容器进程中止,2022-05-01 12:36:35.000000
2022-05-01,frontend,frontend-1,pod,k8s容器网络延迟,2022-05-01 11:59:46.000000
2022-05-01,shippingservice,shippingservice,service,k8s容器网络延迟,2022-05-01 19:08:58.000000
2022-05-01,checkoutservice,checkoutservice,service,k8s容器网络延迟,2022-05-01 15:10:43.000000
2022-05-01,checkoutservice2,checkoutservice2-0,pod,k8s容器进程中止,2022-05-01 14:06:13.000000
2022-05-03,shippingservice2,shippingservice2-0,pod,k8s容器内存负载,2022-05-03 00:50:38.000000
2022-05-03,adservice2,adservice2-0,pod,k8s容器网络资源包损坏,2022-05-03 02:21:58.000000
2022-05-03,paymentservice,paymentservice-1,pod,k8s容器网络丢包,2022-05-03 03:01:49.000000
2022-05-03,productcatalogservice,productcatalogservice,service,k8s容器网络资源包重复发送,2022-05-03 03:31:46.000000
2022-05-03,productcatalogservice,productcatalogservice-2,pod,k8s容器写io负载,2022-05-03 03:49:27.000000
2022-05-03,recommendationservice,recommendationservice,service,k8s容器读io负载,2022-05-03 04:32:34.000000
2022-05-03,currencyservice,currencyservice-0,pod,k8s容器网络丢包,2022-05-03 05:36:01.000000
2022-05-03,frontend,frontend,service,k8s容器网络资源包重复发送,2022-05-03 06:12:54.000000
2022-05-03,cartservice2,cartservice2-0,pod,k8s容器网络资源包重复发送,2022-05-03 06:23:11.000000
2022-05-03,recommendationservice,recommendationservice-1,pod,k8s容器网络丢包,2022-05-03 06:56:52.000000
2022-05-03,recommendationservice,recommendationservice,service,k8s容器网络丢包,2022-05-03 07:14:17.000000
2022-05-03,cartservice,cartservice,service,k8s容器网络丢包,2022-05-03 07:52:18.000000
2022-05-03,emailservice,emailservice-2,pod,k8s容器网络资源包损坏,2022-05-03 08:25:24.000000
2022-05-03,emailservice,emailservice,service,k8s容器写io负载,2022-05-03 08:43:49.000000
2022-05-03,frontend,frontend,service,k8s容器写io负载,2022-05-03 10:18:39.000000
2022-05-03,adservice,adservice,service,k8s容器读io负载,2022-05-03 10:36:31.000000
