,index,date,service,instance,message,level,anomaly_type,st_time,ed_time,duration,data_type
0,0,2021-07-04,mobservice,mobservice1,"2021-07-04 00:37:11,553 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 48ccc1781d26a064 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 00:37:11.553000,2021-07-04 00:37:22.553000,11,train
1,1,2021-07-04,mobservice,mobservice2,"2021-07-04 00:48:32,796 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 00:38:14.418677 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 00:38:14.418677,2021-07-04 00:48:14.418677,600,train
2,2,2021-07-04,logservice,logservice1,"2021-07-04 00:59:41,249 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 00:49:40.287601 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 00:49:40.287601,2021-07-04 00:59:40.287601,600,train
3,3,2021-07-04,webservice,webservice2,"2021-07-04 01:10:00,821 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-04 01:00:00.639653, last for 600 seconds",WARNING,[file moving program],2021-07-04 01:00:00.639653,2021-07-04 01:10:00.639653,600,train
4,4,2021-07-04,dbservice,dbservice2,"2021-07-04 01:44:18,107 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 01:34:17.188897 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 01:34:17.188897,2021-07-04 01:44:17.188897,600,train
5,5,2021-07-04,webservice,webservice2,"2021-07-04 03:00:20,165 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 02:50:19.083599 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 02:50:19.083599,2021-07-04 03:00:19.083599,600,train
6,6,2021-07-04,mobservice,mobservice1,"2021-07-04 03:58:12,121 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 5af0e160cfca6357 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 03:58:12.121000,2021-07-04 03:58:23.121000,11,train
7,7,2021-07-04,webservice,webservice1,"2021-07-04 04:10:00,703 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-04 04:00:00.578620, last for 600 seconds",WARNING,[file moving program],2021-07-04 04:00:00.578620,2021-07-04 04:10:00.578620,600,train
8,8,2021-07-04,mobservice,mobservice1,"2021-07-04 04:18:04,047 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | fd2df0b274574b6d | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-04 04:18:04.047000,2021-07-04 04:18:15.047000,11,train
9,9,2021-07-04,webservice,webservice1,"2021-07-04 04:32:59,482 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 04:22:58.510618 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 04:22:58.510618,2021-07-04 04:32:58.510618,600,train
